Description,N,DE,P.DE,FDR,SigGenesInSet
Protein processing in endoplasmic reticulum,171,1,0.6363305903807595,1,DNAJC5B
Ubiquitin mediated proteolysis,142,1,0.6381107423236947,1,UBE2E2
Alcoholism,174,1,0.6405559420717196,1,GNAI1
Platelet activation,125,1,0.6460238034882507,1,GNAI1
Coronavirus disease,234,1,0.6481831955851063,1,F13B
Relaxin signaling pathway,129,1,0.6487907842405289,1,GNAI1
Cholinergic synapse,114,1,0.650736916682856,1,GNAI1
Retrograde endocannabinoid signaling,141,1,0.6520315253168257,1,GNAI1
"Growth hormone synthesis, secretion and action",121,1,0.6535502893504357,1,GNAI1
Yersinia infection,135,1,0.6594881418293073,1,ARHGEF28
Spinocerebellar ataxia,142,1,0.6647995663789219,1,PIK3C3
Thyroid hormone signaling pathway,121,1,0.6669504662091786,1,MED13L
Tuberculosis,178,1,0.6716837751633173,1,PIK3C3
Dopaminergic synapse,131,1,0.6751055777116053,1,GNAI1
Alzheimer disease,372,2,0.6820116496965702,1,"MME,PIK3C3"
Autophagy - animal,166,1,0.7141049894866962,1,PIK3C3
Adrenergic signaling in cardiomyocytes,152,1,0.7225755026336467,1,GNAI1
Cytokine-cytokine receptor interaction,293,1,0.7256162963202952,1,IL13
Cushing syndrome,155,1,0.7273999667508155,1,GNAI1
Hepatocellular carcinoma,169,1,0.7364492245198416,1,ARID1B
cGMP-PKG signaling pathway,165,1,0.7383766656275828,1,GNAI1
Oxytocin signaling pathway,154,1,0.7403078016846645,1,GNAI1
Kaposi sarcoma-associated herpesvirus infection,194,1,0.7476987584545416,1,PIK3C3
Chemokine signaling pathway,192,1,0.7479808871160609,1,GNAI1
Hormone signaling,217,1,0.750608760594532,1,GNAI1
Parkinson disease,253,1,0.7544445877256478,1,GNAI1
Integrin signaling,153,1,0.7630979126603679,1,PDGFC
Chemical carcinogenesis - receptor activation,216,1,0.7677755077058219,1,GNAI1
Human immunodeficiency virus 1 infection,212,1,0.7727372861378812,1,GNAI1
Cadherin signaling,403,2,0.7771827821010742,1,"TEAD1,KRT37"
Neuroactive ligand signaling,199,1,0.7783348793243785,1,GNAI1
Pathways in cancer,530,3,0.7789500513937611,1,"GLI2,GNAI1,IL13"
Phagocytosis,251,1,0.7960648028912481,1,PIK3C3
Lysosome biogenesis,248,1,0.8025019378248848,1,MAN2B1
Salmonella infection,247,1,0.8062202630072673,1,PIK3C3
Proteoglycans in cancer,202,1,0.815368658898738,1,ANK2
Human cytomegalovirus infection,226,1,0.8185013993936088,1,GNAI1
Shigellosis,244,1,0.8213196129144353,1,PIK3C3
Huntington disease,293,1,0.8293070896644757,1,PIK3C3
Focal adhesion,201,1,0.848153415309955,1,PDGFC
Regulation of actin cytoskeleton,230,1,0.8514264136910642,1,PDGFC
Ras signaling pathway,235,1,0.8552073944176877,1,PDGFC
Neuroactive ligand-receptor interaction,367,1,0.8559335818272995,1,TAAR6
Amyotrophic lateral sclerosis,352,1,0.8654314689847253,1,PIK3C3
Calcium signaling pathway,252,1,0.8749870415444372,1,PDGFC
MAPK signaling pathway,299,1,0.9179775010609712,1,PDGFC
IgSF CAM signaling,296,1,0.9317249597069661,1,ANK2
PI3K-Akt signaling pathway,357,1,0.9386560134223201,1,PDGFC
Pathways of neurodegeneration - multiple diseases,464,1,0.9525065136773195,1,PIK3C3
Glyoxylate and dicarboxylate metabolism,31,0,0.9999999999999974,1,
Apoptosis - multiple species,32,0,0.9999999999999978,1,
Sulfur relay system,8,0,0.9999999999999981,1,
Phosphonate and phosphinate metabolism,6,0,0.9999999999999983,1,
Thiamine metabolism,15,0,0.9999999999999983,1,
Folate transport and metabolism,30,0,0.9999999999999984,1,
Pentose and glucuronate interconversions,37,0,0.9999999999999987,1,
Maturity onset diabetes of the young,26,0,0.9999999999999988,1,
Protein export,31,0,0.999999999999999,1,
Ascorbate and aldarate metabolism,31,0,0.9999999999999991,1,
"Glycine, serine and threonine metabolism",39,0,0.9999999999999991,1,
RNA polymerase,34,0,0.9999999999999991,1,
DNA replication,36,0,0.9999999999999991,1,
Collecting duct acid secretion,27,0,0.9999999999999991,1,
C5-Branched dibasic acid metabolism,2,0,0.9999999999999992,1,
Ubiquinone and other terpenoid-quinone biosynthesis,12,0,0.9999999999999993,1,
Linoleic acid metabolism,30,0,0.9999999999999993,1,
alpha-Linolenic acid metabolism,26,0,0.9999999999999993,1,
Lipoic acid metabolism,19,0,0.9999999999999993,1,
Aldosterone-regulated sodium reabsorption,37,0,0.9999999999999994,1,
Citrate cycle (TCA cycle),30,0,0.9999999999999996,1,
"Valine, leucine and isoleucine biosynthesis",4,0,0.9999999999999996,1,
Vitamin digestion and absorption,26,0,0.9999999999999996,1,
Thyroid cancer,37,0,0.9999999999999996,1,
Steroid biosynthesis,20,0,0.9999999999999997,1,
Glycosaminoglycan degradation,19,0,0.9999999999999997,1,
Glycosphingolipid biosynthesis - ganglio series,15,0,0.9999999999999997,1,
Nitrogen metabolism,17,0,0.9999999999999997,1,
Phototransduction,28,0,0.9999999999999997,1,
Allograft rejection,36,0,0.9999999999999997,1,
Riboflavin metabolism,8,0,0.9999999999999998,1,
Pantothenate and CoA biosynthesis,21,0,0.9999999999999998,1,
Mucin type O-glycan biosynthesis,36,0,0.9999999999999999,1,
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,21,0,0.9999999999999999,1,
Glycolysis / Gluconeogenesis,67,0,1,1,
Pentose phosphate pathway,31,0,1,1,
Fructose and mannose metabolism,36,0,1,1,
Fatty acid biosynthesis,17,0,1,1,
Steroid hormone biosynthesis,65,0,1,1,
Oxidative phosphorylation,122,0,1,1,
Cysteine and methionine metabolism,52,0,1,1,
Lysine degradation,63,0,1,1,
Arginine and proline metabolism,50,0,1,1,
Histidine metabolism,22,0,1,1,
Tryptophan metabolism,41,0,1,1,
Glutathione metabolism,58,0,1,1,
N-Glycan biosynthesis,55,0,1,1,
Various types of N-glycan biosynthesis,44,0,1,1,
Other types of O-glycan biosynthesis,49,0,1,1,
Biosynthesis of various nucleotide sugars,19,0,1,1,
Arachidonic acid metabolism,62,0,1,1,
Glycosphingolipid biosynthesis - lacto and neolacto series,28,0,1,1,
Pyruvate metabolism,49,0,1,1,
Vitamin B6 metabolism,6,0,1,1,
Nicotinate and nicotinamide metabolism,37,0,1,1,
Retinol metabolism,69,0,1,1,
Porphyrin metabolism,46,0,1,1,
Sulfur metabolism,10,0,1,1,
Aminoacyl-tRNA biosynthesis,43,0,1,1,
