Description,N,DE,P.DE,FDR,SigGenesInSet
cGMP-PKG signaling pathway,165,3,0.21391384983310446,1,"BAD,CACNA1D,CACNA1S,SLC25A31"
Nicotinate and nicotinamide metabolism,37,1,0.214327247931312,1,NMRK2
African trypanosomiasis,36,1,0.22335772968952533,1,PRKCA
PI3K-Akt signaling pathway,357,5,0.2278208137438319,1,"BCL2L11,JAK1,PRKCA,BAD,CASP9,LPAR2"
Calcium signaling pathway,252,4,0.23284865102916108,1,"PRKCA,CACNA1D,CACNA1S,SLC25A31"
Proteasome,46,1,0.23489348895087953,1,PSMF1
Necroptosis,160,2,0.2456796654693631,1,"JAK1,SLC25A31"
Th17 cell differentiation,107,2,0.24795353798341002,1,"JAK1,CD3D,CD3G"
Fc gamma R-mediated phagosome formation,96,2,0.2508134315697372,1,"MYO10,PRKCA"
Phosphatidylinositol signaling system,97,2,0.2525259745420557,1,"PRKCA,MTMR3"
Human immunodeficiency virus 1 infection,212,3,0.2538887861325118,1,"PRKCA,BAD,CASP9,CD3D,CD3G"
Toxoplasmosis,110,2,0.26257662359442097,1,"JAK1,BAD,CASP9"
Retinol metabolism,69,1,0.2628843546986826,1,DHRS4L2
HIF-1 signaling pathway,109,2,0.26714182072479786,1,"PDK1,PRKCA"
Morphine addiction,91,2,0.28492587236116707,1,"PDE4B,PRKCA"
Circadian entrainment,97,2,0.30079619784481204,1,"PRKCA,CACNA1D"
Type I diabetes mellitus,42,1,0.30477607349213465,1,PTPRN2
Aldosterone-regulated sodium reabsorption,37,1,0.30797232406019737,1,PRKCA
Legionellosis,56,1,0.3086859818840703,1,CASP9
Osteoclast differentiation,134,2,0.31219355288520634,1,"LILRB1,JAK1"
Carbohydrate digestion and absorption,46,1,0.31608762016629,1,CACNA1D
Neutrophil extracellular trap formation,175,2,0.32253442456982906,1,"PRKCA,SLC25A31"
Cell cycle,158,2,0.3232343985944821,1,"MAD1L1,CDC27"
Hepatitis C,155,2,0.3266261124320376,1,"JAK1,BAD,CASP9"
Human cytomegalovirus infection,226,3,0.33366983767817804,1,"JAK1,PRKCA,CASP9"
N-Glycan biosynthesis,55,1,0.33393358189137784,1,MGAT5
MicroRNAs in cancer,318,3,0.34064614630658907,1,"BCL2L11,APC2,PRKCA"
Vibrio cholerae infection,50,1,0.3410602751504201,1,PRKCA
Sphingolipid metabolism,55,1,0.3426554046570387,1,ENPP7
cAMP signaling pathway,225,3,0.3452892464811921,1,"PDE4B,BAD,CACNA1D,CACNA1S"
Huntington disease,293,3,0.35141930090200113,1,"DNAH10,SLC25A31,CASP9"
"Parathyroid hormone synthesis, secretion and action",115,2,0.36085768958548725,1,"PDE4B,PRKCA"
Signaling pathways regulating pluripotency of stem cells,142,2,0.36509548137938785,1,"APC2,JAK1"
Rap1 signaling pathway,210,3,0.36784252987775445,1,"RASGRP3,PRKCA,LPAR2"
Coronavirus disease,234,2,0.3681634245471567,1,"JAK1,PRKCA,RPL34"
Other types of O-glycan biosynthesis,49,1,0.37019604807891116,1,GALNT16
Spinocerebellar ataxia,142,2,0.37184873170839783,1,"PRKCA,SLC25A31"
Glutamatergic synapse,116,2,0.3809056906989303,1,"PRKCA,CACNA1D"
