"lca","Brazil","Bristol","Ecuador","New Zealand","Uganda"
"Asthmatic, atopic, mild/moderate, well controlled","11 (4.5%)","4 (1.6%)","4 (1.6%)","4 (1.1%)","34 (13.2%)"
"Asthmatic, highly atopic, severe/uncontrolled","23 (9.4%)","52 (21.4%)","60 (24.7%)","83 (22.6%)","41 (16.0%)"
"Asthmatic, non-atopic, mild/moderate, well controlled","98 (40.2%)","64 (26.3%)","31 (12.8%)","91 (24.8%)","70 (27.2%)"
"Asthmatic, non-atopic, severe/uncontrolled","17 (7.0%)","15 (6.2%)","7 (2.9%)","49 (13.4%)","9 (3.5%)"
"Control, atopic","24 (9.8%)","31 (12.8%)","111 (45.7%)","45 (12.3%)","71 (27.6%)"
"Control, non-atopic","71 (29.1%)","77 (31.7%)","30 (12.3%)","95 (25.9%)","32 (12.5%)"
