Description,N,DE,P.DE,FDR,SigGenesInSet
"Growth hormone synthesis, secretion and action",121,2,0.34869079876161124,1,"CREB1,PLCB1"
Estrogen signaling pathway,137,2,0.34904414132805817,1,"CREB1,PLCB1"
Retrograde endocannabinoid signaling,141,2,0.3510885081324594,1,"PLCB1,GABRA6"
Mineral absorption,60,1,0.35141238360081634,1,HEPHL1
Sphingolipid metabolism,55,1,0.355142073863216,1,HEXB
Thyroid hormone signaling pathway,121,2,0.3604691460535441,1,"DIO2,PLCB1,PLN"
Signaling pathways regulating pluripotency of stem cells,142,2,0.3652364374629101,1,"SMAD2,SMAD4"
Cocaine addiction,49,1,0.3757695393333657,1,CREB1
Dopaminergic synapse,131,2,0.37865378257155924,1,"CREB1,PLCB1"
Hepatitis B,162,2,0.38397448748613083,1,"CREB1,SMAD4,RB1"
Fatty acid metabolism,56,1,0.38477980883925367,1,HSD17B4
Viral life cycle - HIV-1,68,1,0.3890198450562393,1,NUP153
Diabetic cardiomyopathy,189,2,0.39244479468383564,1,"PLCB1,SMAD2,PLN"
Cytoskeleton in muscle cells,233,3,0.3952330945450834,1,"ANK3,LBR,MYPN"
Endocytosis,249,3,0.40782508456818284,1,"RAB11FIP2,SMAD2,CAV1"
Antigen processing and presentation,71,1,0.41796556498092563,1,CREB1
Glycerolipid metabolism,64,1,0.4182527272687565,1,TMEM68
Endocrine and other factor-regulated calcium reabsorption,53,1,0.42266343524489114,1,PLCB1
Autophagy - animal,166,2,0.4304888883427903,1,"ATG2B,BIRC6"
Calcium signaling pathway,252,3,0.4347489013986734,1,"EGF,PLCB1,HTR2C,PLN"
Lysine degradation,63,1,0.4386743384524499,1,SETD2
Amyotrophic lateral sclerosis,352,3,0.43896577022085204,1,"ATG2B,PSMA1,NUP153"
Adrenergic signaling in cardiomyocytes,152,2,0.44337541379913553,1,"CREB1,PLCB1,PLN"
Metabolic pathways,1558,12,0.4439944694298503,1,"GPHN,B3GNT3,GALNT13,PLCB1,FMO2,THEM5,SETD2,HEXB,HSD17B4,LBR,GALNTL6,PAPSS2"
Cytokine-cytokine receptor interaction,293,2,0.4564881345534285,1,"IL16,IL22"
Hepatocellular carcinoma,169,2,0.46129597381323323,1,"SMAD2,SMAD4,RB1"
cGMP-PKG signaling pathway,165,2,0.46467421465305647,1,"CREB1,PLCB1,PLN"
Hippo signaling pathway,157,2,0.46617906309061957,1,"SMAD2,SMAD4"
Phospholipase D signaling pathway,147,2,0.4662585848746861,1,"LPAR6,EGF,PLCB1"
Endometrial cancer,58,1,0.46736890476036763,1,EGF
Amphetamine addiction,69,1,0.48176466695084297,1,CREB1
Melanoma,72,1,0.488412680190437,1,"EGF,RB1"
Viral myocarditis,67,1,0.49030775486946404,1,CAV1
GnRH secretion,64,1,0.49461431853463583,1,PLCB1
Long-term potentiation,67,1,0.5025394546161559,1,PLCB1
Chemical carcinogenesis - receptor activation,216,2,0.5108576031951464,1,"CREB1,EGF,RB1"
Inositol phosphate metabolism,78,1,0.5215856443446362,1,PLCB1
