"Description","N","DE","P.DE","FDR","SigGenesInSet","comp_id"
"beta-Alanine metabolism",31,20,0.0023353889360038,0.0789786076539466,"ABAT,DPYD,DPYS,EHHADH,ALDH2,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,MLYCD,HIBCH,HADHA,AOC2,GADL1,ALDH7A1,ACOX1,UPB1,CNDP2,ACOX3,CNDP1","Sputum_Eosinophilic"
"Yersinia infection",135,70,0.00324152253316511,0.0859350381819011,"AKT3,ARPC4,ARPC1B,ACTR3,VAV3,TAB1,BAIAP2,NLRP3,MAPK14,DOCK1,AKT1,PTK2B,FCGR2A,TAB2,FN1,FYB1,GNAQ,TBK1,GSK3B,IKBKB,IL1B,IL2,IL10,IL18,ITGA4,ITGA5,ITGB1,RHOA,LCK,LCP2,MEFV,NFATC1,NFATC2,NFKB1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,MAPK1,MAPK10,MAPK13,MAP2K1,MAP2K6,PTK2,PXN,NLRC4,RAC1,RAC2,RPS6KA1,RPS6KA2,ELMO2,MAP2K4,ARHGEF28,WIPF3,ACTR3C,SRC,TLR4,TNF,TRAF2,VAV2,WIPF1,PIP5K1A,PIP5K1B,PIK3R3,IKBKG,ARHGEF7,SKAP2,CD4,GIT2,ELMO1,CDC42","Sputum_Eosinophilic"
"Histidine metabolism",22,14,0.00332176216163567,0.0859350381819011,"UROC1,CARNMT1,AMDHD1,ALDH2,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,HAL,HDC,HNMT,ALDH7A1,CNDP2,CNDP1","Sputum_Eosinophilic"
"Osteoclast differentiation",134,66,0.00334962944678704,0.0859350381819011,"AKT3,SIRPB1,TAB1,LILRB3,CREB1,SIRPA,MAPK14,CSF1R,CTSK,CYLD,TMEM64,AKT1,FCGR2A,FHL2,TAB2,FYN,GRB2,IFNAR2,IKBKB,IL1A,IL1B,IL1R1,ITPR1,ITPR2,JAK1,LCK,LCP2,MITF,NCF4,NFATC1,NFATC2,NFKB1,ATP2A1,ATP2A2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PLCG2,ACP5,TREM2,PPARG,PPP3CA,PPP3CB,PPP3R1,PPP3R2,SIRPG,MAPK1,MAPK10,MAPK13,MAP2K1,MAP2K6,RAC1,SPI1,STAT1,SYK,TEC,TGFBR2,TNF,TRAF2,TYK2,LILRA6,PIK3R3,IKBKG,TNFRSF11A,MAP3K14,GAB2","Sputum_Eosinophilic"
"Glycerolipid metabolism",64,35,0.00346512250733472,0.0859350381819011,"AGPAT1,AGPAT2,CEL,MGLL,PNLIPRP3,MBOAT2,GLYCTK,MBOAT1,DGKG,PLPP4,ALDH2,ALDH9A1,ALDH3A2,LPIN1,LCLAT1,TKFC,GK,GK2,LIPC,LPL,ALDH7A1,PNLIPRP1,AGK,AGPAT3,AGPAT4,PNPLA2,MOGAT2,PLPP5,DGKZ,DGKE,DGKD,PLPP3,DGAT1,DGKI,LPIN2","Sputum_Eosinophilic"
"ABC transporters",45,27,0.00552031004851275,0.121108378009198,"ABCB6,ABCC9,ABCC4,ABCA10,ABCA9,CFTR,ABCB8,ABCC2,ABCA13,DEFB1,ABCA1,ABCA3,ABCD1,ABCB10,ABCB9,ABCA4,ABCA12,ABCC1,ABCB1,ABCD4,ABCG5,ABCG8,TAP1,TAP2,ABCC11,ABCB11,ABCC3,ABCG2,ABCG1","Sputum_Eosinophilic"
"Rheumatoid arthritis",91,41,0.00553452265095797,0.121108378009198,"CTLA4,CTSK,FLT1,ATP6V0A2,ATP6V0D2,ATP6V1C2,ANGPT1,CXCL3,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRB1,HLA-DRB5,IL1A,IL1B,IL18,ITGAL,ITGB2,ATP6V0A4,ATP6V1H,ATP6V1B2,ATP6V1C1,ATP6V1G2,ATP6V0A1,ATP6AP1,ACP5,CCL3,CCL20,TGFB3,TLR4,TNF,VEGFA,TNFRSF11A,ATP6V1E2,ATP6V0D1,CD28,CD86","Sputum_Eosinophilic"
"Adherens junction",93,52,0.00676495946165205,0.12692827268688,"MYL12B,MYL9,BAIAP2,SORBS1,SSX2IP,CREBBP,CTNNA1,CTNNA2,CTNND1,EP300,ERBB2,FER,FGFR1,FYN,CTNNA3,IGF1R,INSR,RHOA,LMO7,SMAD3,SMAD4,MET,LEF1,NLK,RASIP1,RADIL,MAPK1,PARD3,SMURF1,HEG1,PTPN1,PTPRB,PTPRJ,PTPRM,NECTIN1,RAC1,RAC2,RAP1A,RAP1B,SMURF2,SRC,TCF7,TCF7L2,TGFBR2,VCL,YES1,ACTN4,NECTIN4,CCM2,ACTN1,MYL10,FARP2,CDC42,CDH1","Sputum_Eosinophilic"
"Pantothenate and CoA biosynthesis",21,14,0.0067921637306208,0.12692827268688,"DPYD,DPYS,ALDH2,ALDH3A2,GADL1,ENPP3,UPB1,PANK1,BCAT1,PPCDC,PANK3,PANK2,COASY,VNN2","Sputum_Eosinophilic"
"Staphylococcus aureus infection",93,34,0.00689075984700474,0.12692827268688,"KRT40,DEFA1,DEFA3,DEFA4,DEFA5,DEFB1,FCAR,FCGR2A,FPR2,FPR3,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRB1,HLA-DRB5,IL10,ITGAL,ITGAM,ITGB2,KRT13,KRT16,KRT17,PTAFR,SELP,C1R,C1S,C3AR1,C5AR1,DEFA1B,CAMP,KRT38","Sputum_Eosinophilic"
"Metabolic pathways",1558,570,0.00716530571619484,0.12692827268688,"ADA,PIGK,ST20-MTHFS,CYP3A7-CYP3A51P,NAMPT,DHRS9,ALG3,GPHN,LANCL1,CDO1,PEMT,ST3GAL6,AGPAT1,AGPAT2,CEL,MTHFS,PMVK,AHCYL1,HPSE,ME3,ADCY3,EHMT2,HIBADH,NUDT5,CHIT1,CHKA,CHKB,GALNT6,HOGA1,MGAT4B,B4GALT7,MGAT4A,ACOT7,MGLL,AZIN2,ADCY9,ACSM1,GALNT15,IP6K3,GSTO2,PNLIPRP3,CYP2R1,ADSS1,DEGS2,PLA2G4E,EARS2,GGT6,PIGU,MBOAT2,ADH6,SGPP2,GALM,UROC1,ADK,GLYCTK,ENPP6,NADK2,ACOT12,COX10,HGSNAT,CARNMT1,ACSM6,CS,AMDHD1,B3GALNT2,AANAT,CTPS1,PLB1,UPP2,MBLAC2,MBOAT1,VKORC1L1,CYP3A7,CYP2B6,RDH10,AK8,CYP11A1,CYP19A1,CYP51A1,DGKG,DCT,DDC,AKR1C2,SGMS2,IDO2,CLYBL,DGUOK,DHCR24,DHODH,DLST,DNMT3A,ABAT,DPYD,DPYS,AGXT,AHCY,EHHADH,ADCY4,ALG14,HACD2,STT3B,ENO1,AK2,AK4,ALAS1,MECOM,EXT1,EXT2,EZH2,ALDH2,ACSL1,ACSL3,ACSL4,FASN,LRTOMT,FBP1,ALDH3B1,AK9,FKTN,ALDH3B2,FDFT1,ALDH9A1,FECH,ALDH3A2,FHIT,CHSY1,ENPP4,INPP5F,SEPHS1,SIRT2,NMNAT2,SETD1B,COLGALT2,LPIN1,PLCB1,FMO1,FMO2,ACSL6,AHCYL2,MLYCD,NNT,ATP6V0A2,HYAL4,PIGN,AMACR,PLD3,ALOX5,ALOX12B,ATP6V0D2,ATP6V1C2,ALOX15,ALPL,LCLAT1,CERS6,G6PC1,G6PD,GAA,TMEM86B,PLA2G4F,PGLS,GALC,GALK2,GALNS,GALNT1,GALNT2,MTHFD1L,GALNT3,SGMS1,IL4I1,GANC,TKFC,GLCE,AMD1,PHGDH,HIBCH,GATM,AK5,GBA1,GBE1,GCH1,GCK,GCNT1,GCNT2,GFPT1,GGCX,GGT1,B4GALT1,OPLAH,TPK1,ACAD8,ST6GALNAC4,GK,PDE7B,GK2,CHIA,AMPD3,GLB1,COQ2,GCLC,HPGDS,MAT2B,GLS,GMDS,GNS,ABO,GPD2,GPI,GPLD1,P4HA3,B4GALNT3,HEXD,GDPD1,GPX3,GPX4,GPX5,SETD2,GSTA1,GSTA3,GSTM3,GSTM4,GSTZ1,GUCY2C,GUSB,GYG1,PYCR2,NME7,DSE,HADHA,HADH,HAL,HDC,HEXA,HGD,HK1,HK2,ACACA,HK3,AOC2,HLCS,HMBS,HMGCL,HMGCR,HMGCS1,AOX1,HMOX1,HNMT,DHRS4L2,HPD,HSD11B1,HSD17B2,ACADL,NDST1,GADL1,IDH2,IDH3B,IDH3G,IDI1,NMNAT3,IMPA2,IDO1,INPP1,INPP4A,INPP5A,INPP5D,ITPK1,ITPKB,GALNT18,CA13,ARG1,PEDS1,PEDS1-UBE2V1,LIPT2,LBR,LIPC,HACD4,LTA4H,ARSB,MAN1A1,MAN2A2,MAN2A1,MARS1,IDNK,MAT2A,MDH2,MGAT3,MGAT5,MGST1,MGST3,KMT2A,MPST,MTHFD2L,GALNTL6,MTAP,MTHFD1,MTM1,NDUFA4,NDUFA5,NDUFA10,NDUFB9,NDUFC2,NDUFS2,NDUFV1,NDUFS6,NDUFS8,NDUFV2,ACO1,NME2,NNMT,NOS3,NPR1,NT5E,PHOSPHO2,OGDH,ALDH7A1,P4HA1,RRM2B,PAFAH2,GALNT9,ATP6V0A4,PC,PDE11A,PCCA,ACOX1,HDDC2,PCK2,DERA,CRYL1,MECR,HSD17B12,GMPR2,PCYT1A,PDE1C,PDE2A,PDE3A,PDE3B,PDE4B,PDE4D,IP6K2,PDE6A,PDE6C,PDE6H,PDE7A,PDE8A,PDE9A,SCLY,PDE6B,ATP6V1H,ENPP2,ENPP3,ATP5MC2,ACSL5,UPB1,GALNT7,ADA2,GATB,PFKFB2,PFKFB3,PFKFB4,PFKL,PFKP,PGD,PGM1,ATP6V1B2,ATP6V1C1,PIGH,PIK3C2B,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PI4KA,PI4KB,PIP4K2A,PKLR,PKM,PLA2G1B,PLA2G2A,PLA2G4A,PLCD1,PANK1,PLCG2,PLD1,ATP6V1G2,ATP6V0A1,ATP6AP1,ACP5,PNLIPRP1,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A9,CRLS1,PIGG,AUH,BPNT2,LPCAT2,UCKL1,PIGX,PLAAT2,NADSYN1,FGGY,SPTLC3,PI4K2A,PPT1,SMPD3,GALNT10,NAGK,CNDP2,AGK,CSGALNACT1,ADCY10,ECHDC1,ASH1L,ACSS2,KMT2E,KYAT3,SPHK2,AGPAT3,AGPAT4,C1GALT1,MCCC1,NT5M,CHPT1,PNPLA2,MAN1C1,PTEN,PTGS2,GALNT16,RIMKLB,G6PC2,PYGL,KMT2C,BCAT1,BCKDHA,RDH5,ELOVL5,PPCDC,HPSE2,RPE65,RPN1,BDH1,MSMO1,SCP2,SDHA,PRDM16,RBKS,XYLT1,CHST8,BLVRA,SMYD3,ST6GAL1,ST3GAL1,ST3GAL4,GNPNAT1,ST3GAL3,AGXT2,NADK,NME1-NME2,SMS,SORD,UAP1,SRD5A1,AKR1D1,SULT2B1,BTD,TBXAS1,TK1,TK2,TKT,TYMS,TYRP1,UGCG,UCK2,UPP1,UQCRB,UQCRFS1,UQCRH,NSD2,XDH,CA2,CA6,CA7,CA12,PRDM2,VKORC1,ELOVL6,CHAC1,FKRP,CERS4,GALNT14,SRD5A3,PANK3,GALNT12,ALG9,UGT2A3,EHMT1,CAMKMT,LPCAT1,L2HGDH,DGLUCY,PANK2,UXS1,ASRGL1,MOGAT2,HSD3B7,ITPKC,COASY,NPL,PTDSS2,SGPP1,ST6GALNAC5,ACOX3,ELOVL3,ADPGK,CHST9,PIP5K1A,PIP5K1B,B3GNT5,COQ5,DOT1L,ACSS1,CNDP1,ALG10,PIGY,NDST2,DGKZ,DGKE,DGKD,DDO,AGPS,SELENOI,KMO,PLPP3,ALDH4A1,HYAL2,DGAT1,B4GALT4,B3GALT2,CBS,CDS2,SUCLG2,SUCLG1,INPP4B,KYAT1,SYNJ1,SYNJ2,VNN2,SGPL1,MTMR3,MTMR2,KYNU,MGAM,P4HA2,PLCZ1,NAT1,ATP6V1E2,PAPSS2,PAPSS1,PIGQ,MTMR7,ATP6V0D1,DGKI,LARGE1,DHRS3,B4GALT6,B4GALT5,PPT2,PIGS,FADS2,GSTO1,PIGL,PGS1,GAL3ST1,SPTLC2,CD38,TECR,ENTPD1,MINPP1,H6PD,GDA,LPIN2,SETD1A,CDA,PTDSS1,ACYP2,FIG4,GFPT2","Sputum_Eosinophilic"
"AMPK signaling pathway",120,63,0.00787014097427533,0.130268872860154,"AKT3,CAMKK2,CFTR,RAB10,CPT1A,CREB1,ADRA1A,CREB3L4,AKT1,FASN,FBP1,FOXO1,TBC1D1,MLYCD,G6PC1,EEF2K,ACACA,HMGCR,HNF4A,IGF1R,INSR,IRS1,LEP,LEPR,RAB8A,PCK2,PRKAG2,RAB14,PDPK1,CAB39,PFKFB2,PFKFB3,PFKFB4,PFKL,PFKP,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PPARG,PPP2CB,PPP2R1A,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R3A,PPP2R5A,PPP2R5C,PPP2R5E,PRKAB1,RPTOR,G6PC2,RAB2A,RHEB,CREB3L2,SREBF1,ADIPOR2,CAB39L,ULK1,PIK3R3,CCNA1,RAB11B,CD36,CREB5","Sputum_Eosinophilic"
"VEGF signaling pathway",59,34,0.0080542582682353,0.130268872860154,"AKT3,PLA2G4E,MAPK14,AKT1,PLA2G4F,NFATC2,NOS3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PLA2G4A,PLCG2,PPP3CA,PPP3CB,PPP3R1,PPP3R2,PRKCA,PRKCB,MAPK1,MAPK13,MAP2K1,SPHK2,PTGS2,PTK2,PXN,RAC1,RAC2,RAF1,SRC,VEGFA,MAPKAPK3,PIK3R3,MAPKAPK2,CDC42","Sputum_Eosinophilic"
"Inflammatory bowel disease",64,32,0.00962721525532932,0.143930913317477,"GATA3,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRB1,HLA-DRB5,IL1A,IL1B,IL2,IL4,IL10,IL13,IL18,SMAD2,SMAD3,NFATC1,NFKB1,RORA,RORC,NOD2,STAT1,STAT4,TGFB3,TLR4,TNF,IL18RAP,IL18R1","Sputum_Eosinophilic"
"Leishmaniasis",75,36,0.0100477916436812,0.143930913317477,"TAB1,CR1L,MAPK14,EEF1A1,FCGR2A,TAB2,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRB1,HLA-DRB5,IL1A,IL1B,IL4,IL10,ITGA4,ITGAM,ITGB1,ITGB2,JAK1,NCF4,NFKB1,NFKBIB,PRKCB,MAPK1,MAPK13,PTGS2,STAT1,TGFB3,TLR4,TNF","Sputum_Eosinophilic"
"Amoebiasis",100,50,0.0100596874899312,0.143930913317477,"LAMC3,COL4A1,COL4A6,CTSG,LAMB4,PLCB1,FN1,GNA15,GNAQ,GNAS,CXCL3,IL1B,IL1R1,IL10,ITGAM,ITGB2,ARG1,LAMA3,LAMA4,LAMA5,LAMB1,LAMB3,LAMC1,LAMC2,NFKB1,SERPINB6,SERPINB13,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PRKCA,PRKCB,PTK2,RAB5C,SERPINB3,TGFB3,TLR4,TNF,C8B,VCL,IL1R2,RAB7A,ACTN4,PIK3R3,ACTN1,CD1B,CD1C,CD1D,GNA14","Sputum_Eosinophilic"
