"Description","N","DE","P.DE","FDR","SigGenesInSet","comp_id"
"PD-L1 expression and PD-1 checkpoint pathway in cancer",89,41,0.00535671666280074,0.15415017868768,"AKT3,RASGRP1,CHUK,MAPK14,CSNK2B,EGF,EGFR,AKT1,AKT2,FOS,ALK,MTOR,LAT,EML4,CD274,HIF1A,IFNG,IFNGR2,TICAM2,JAK1,LCK,NFATC1,NFATC3,NFKB1,PDCD1,PIK3CB,PIK3R1,PLCG1,TLR9,PPP3CA,PPP3CC,MAPK1,MAPK13,MAP2K1,MAP2K2,PTEN,PTPN11,RAF1,STAT3,TRAF6,CD3E,CD247","Sputum_Mixed granulocytic"
"Sphingolipid signaling pathway",123,56,0.00580678279447762,0.15415017868768,"AKT3,DEGS2,MAPK14,SGMS2,CERS3,AKT1,AKT2,PLCB1,FYN,CERS6,SGMS1,GNA12,GNAI2,GNAI3,GNAQ,MAP3K5,ABCC1,NFKB1,NOS3,PDPK1,PIK3CB,PIK3R1,PLCB2,PLCB4,S1PR5,PPP2R1A,PPP2R1B,PPP2R3A,PPP2R5C,PPP2R5E,PRKCA,PRKCB,PRKCE,PPP2R2D,PRKCZ,MAPK1,MAPK8,MAPK10,MAPK13,MAP2K1,MAP2K2,SPHK2,PTEN,RAC2,RAF1,BCL2,BID,TNFRSF1A,TRAF2,NSMAF,DEGS1,S1PR4,S1PR2,ORMDL3,SPTLC2,GAB2","Sputum_Mixed granulocytic"
"Chemokine signaling pathway",192,75,0.00590765154621899,0.15415017868768,"AKT3,CCL26,VAV3,CXCR6,ADCY2,CCR9,CHUK,ADCY9,CCR1,CCR4,PIK3R6,CX3CR1,GRK2,GRK3,DOCK2,ADCY4,AKT1,AKT2,PTK2B,FGR,PLCB1,PIK3R5,SHC2,GNAI2,GNAI3,GNAQ,GNB1,GNG7,GRK4,GRK5,GRK6,GSK3B,HCK,JAK3,CCL4L1,LYN,ARRB1,ARRB2,NFKB1,PIK3CB,PIK3CG,PIK3R1,PLCB2,PLCB4,PLCG1,SHC3,PLCG2,GNG2,PPBP,PRKACA,PRKCB,PRKCZ,MAPK1,GNG12,MAP2K1,PARD3,PTK2,PREX1,CXCL16,PXN,RAC2,RAF1,RAP1B,CCL3,CCL13,CCL18,CCL22,SOS1,SRC,BRAF,STAT3,STAT5B,TIAM1,CCR2,VAV2,CCL4L2,ELMO1","Sputum_Mixed granulocytic"
"Chagas disease",102,43,0.00647888562347765,0.15415017868768,"AKT3,CHUK,MAPK14,AKT1,AKT2,PLCB1,FOS,GNA15,GNAI2,GNAI3,GNAQ,IFNG,IFNGR2,FAS,IL10,SMAD2,NFKB1,PIK3CB,PIK3R1,PLCB2,PLCB4,TLR9,PPP2R1A,PPP2R1B,PPP2R2D,MAPK1,MAPK8,MAPK10,MAPK13,CCL3,MAP2K4,TGFB1,TGFBR1,TGFBR2,C1QB,TNFRSF1A,C1QC,TRAF6,CALR,FADD,CFLAR,CD3E,CD247","Sputum_Mixed granulocytic"
"Autophagy - animal",166,70,0.00687323029256989,0.15415017868768,"AKT3,TANK,ATG7,CTSB,DAPK1,EIF2S1,C9orf72,AKT1,AKT2,ERN1,WDFY3,VPS39,DAPK2,MTOR,GORASP2,WIPI2,VPS41,TBK1,PIK3R4,HIF1A,IGF1R,ITPR1,LAMP1,EIF2AK4,MAP1LC3C,SH3GLB1,PDPK1,PIK3C3,PIK3CB,PIK3R1,WIPI1,ATG2B,SUPT20H,AMBRA1,PRKAA2,PRKACA,MAPK1,MAPK8,MAPK10,MAP2K1,MAP2K2,WDR45B,PTEN,BIRC6,RPTOR,VPS18,EPG5,TP53INP2,RRAGD,RAF1,BCL2,BCL2L1,RHEB,DEPTOR,VPS33A,TRAF6,UVRAG,RAB7A,VMP1,ATG10,ULK1,STX7,BECN1,CFLAR,MTMR3,ATG16L2,EIF2AK3,ATG5,ATG13,RB1CC1,PLEKHM1","Sputum_Mixed granulocytic"
"TNF signaling pathway",118,49,0.0071349850475283,0.15415017868768,"AKT3,DNM1L,TAB1,RIPK3,CHUK,CREB1,ATF6B,MAPK14,CREB3L4,CYLD,AKT1,AKT2,TAB2,FOS,ICAM1,FAS,IL15,MAP3K5,NFKB1,PIK3CB,PIK3R1,MAPK1,MAPK8,MAPK10,MAPK13,MAP2K1,PTGS2,BCL3,SELE,NOD2,MAP2K4,CREB3L2,ADAM17,TNFAIP3,TNFRSF1A,TNFRSF1B,TRAF1,TRAF2,TRAF3,TRAF5,RHBDF2,ITCH,FRMD8,CASP7,CASP10,FADD,IL18R1,CFLAR,RPS6KA4,CREB5","Sputum_Mixed granulocytic"
"T cell receptor signaling pathway",118,54,0.00765409227305157,0.15415017868768,"AKT3,RASGRP1,PAK4,VAV3,MALT1,CHUK,MAPK14,CTLA4,DLG1,AKT1,AKT2,FOS,FYN,LAT,GSK3B,IFNG,IL10,LCK,LCP2,NCK1,NFATC1,NFATC3,NFKB1,PAK2,PDCD1,PDPK1,PIK3CB,PIK3R1,PLCG1,PPP2R1A,PPP2R1B,PPP2R3A,PPP2R5C,PPP2R5E,PPP3CA,PPP3CC,PPP2R2D,MAPK1,MAPK8,MAPK10,MAPK13,MAP2K1,MAP2K2,PTPN11,PTPRC,RAF1,SOS1,TEC,VAV2,NCK2,CARD11,CD3E,CD247,GRAP2","Sputum_Mixed granulocytic"
"Platelet activation",125,57,0.00801981888697561,0.15415017868768,"AKT3,RASGRP1,ADCY2,ADCY9,PLA2G4E,COL3A1,MAPK14,PIK3R6,ADCY4,AKT1,AKT2,PLCB1,PIK3R5,FYN,GNAI2,GNAI3,GNAQ,GP1BB,GP9,PLA2G4D,ARHGAP35,GUCY1A1,MYLK4,ITGA2,ITGB1,ITPR1,ITPR2,LCP2,LYN,MYLK,PPP1R12A,NOS3,P2RX1,PIK3CB,PIK3CG,PIK3R1,PLA2G4A,PLCB2,PLCB4,PLCG2,APBB1IP,PPP1CA,PRKACA,PRKCI,PRKCZ,MAPK1,MAPK13,RAP1B,SRC,STIM1,SYK,TBXAS1,TLN1,VWF,FERMT3,ORAI1,MYLK2,ARHGEF1,MYLK3","Sputum_Mixed granulocytic"
"VEGF signaling pathway",59,30,0.00932218138345371,0.15415017868768,"AKT3,PLA2G4E,MAPK14,AKT1,AKT2,SHC2,PLA2G4D,NOS3,PIK3CB,PIK3R1,PLA2G4A,PLCG1,PLCG2,PPP3CA,PPP3CC,PRKCA,PRKCB,MAPK1,MAPK13,MAP2K1,MAP2K2,SPHK2,PTGS2,PTK2,PXN,RAC2,RAF1,SRC,MAPKAPK3,MAPKAPK2","Sputum_Mixed granulocytic"
"Lysosome biogenesis",248,91,0.00932368572858853,0.15415017868768,"AP3S2,AP3M2,SLC2A6,VPS26B,OSBPL1A,OSBPL5,AP2S1,AP3S1,BORCS5,CLCN7,TPP1,SLC36A4,SLC15A4,CLTC,NCOA7,HGSNAT,CTNS,CTSB,CTSE,CTSG,CTSH,CTSW,CTSZ,SLC38A9,AP2A2,AP1B1,ABCA2,SLC36A1,TPCN2,ARSG,GGA2,DMXL2,VPS39,AP4E1,ZFYVE26,ATP6V0A2,PLA2G15,ATP6V1C2,MTOR,GAA,GALC,GALNS,OSBPL3,GGA1,SLC17A5,VPS41,LAMP3,GLB1,GM2A,GNS,SUMF1,SLC36A3,HEXA,HEXB,IGF2R,LAMP1,ARSB,MITF,NPC1,ATP6V1D,ATP6V1H,ATP6V1B2,ATP6V1C1,ACP2,ATP6V0B,TPCN1,ACP5,TLR9,CTSA,CLN6,LAPTM4B,PPT1,PSAP,RPTOR,VPS18,DNASE2B,RRAGD,SORT1,DEPTOR,VPS33A,SLC11A1,LAPTM5,RAB7A,GNPTAB,CLTCL1,DTNBP1,AP1M1,ATP6V0E1,SCARB2,TTI1,CD68,LAPTM4A,PLEKHM1,FIG4","Sputum_Mixed granulocytic"
"EGFR tyrosine kinase inhibitor resistance",78,41,0.00944107600288598,0.15415017868768,"AKT3,BCL2L11,EGF,EGFR,EIF4E,EIF4EBP1,AKT1,AKT2,FGFR2,MTOR,GAB1,SHC2,GSK3B,NRG1,IGF1R,IL6R,JAK1,NF1,PDGFA,PDGFB,PIK3CB,PIK3R1,PLCG1,SHC3,PLCG2,PRKCA,PRKCB,MAPK1,PDGFC,MAP2K1,MAP2K2,PTEN,RAF1,BCL2,BCL2L1,SOS1,SRC,BRAF,STAT3,TGFA,PDGFD","Sputum_Mixed granulocytic"
